YEAR,STATE,YEARS,URL
2019,AZ,78.8,/nchs/pressroom/states/arizona/az.htm
2019,AR,75.7,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,80.9,/nchs/pressroom/states/california/ca.htm
2019,CO,80,/nchs/pressroom/states/colorado/co.htm
2019,CT,80.3,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,78.1,/nchs/pressroom/states/delaware/de.htm
2019,FL,79,/nchs/pressroom/states/florida/fl.htm
2019,GA,77.4,/nchs/pressroom/states/georgia/ga.htm
2019,HI,80.9,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,79.5,/nchs/pressroom/states/idaho/id.htm
2019,IL,79,/nchs/pressroom/states/illinois/il.htm
2019,IN,77,/nchs/pressroom/states/indiana/in.htm
2019,IA,79,/nchs/pressroom/states/iowa/ia.htm
2019,KS,78.2,/nchs/pressroom/states/kansas/ks.htm
2019,KY,75.5,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,75.7,/nchs/pressroom/states/louisiana/la.htm
2019,ME,78.3,/nchs/pressroom/states/maine/me.htm
2019,MD,78.5,/nchs/pressroom/states/maryland/md.htm
2019,MA,80.4,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,78,/nchs/pressroom/states/michigan/mi.htm
2019,MN,80.4,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,74.4,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,76.9,/nchs/pressroom/states/missouri/mo.htm
2019,MT,78.4,/nchs/pressroom/states/montana/mt.htm
2019,NE,79.2,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,78,/nchs/pressroom/states/nevada/nv.htm
2019,NH,79.4,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,80.1,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,76.9,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,80.7,/nchs/pressroom/states/newyork/ny.htm
2019,NC,77.6,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,78.8,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,76.9,/nchs/pressroom/states/ohio/oh.htm
2019,OK,75.7,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,79.6,/nchs/pressroom/states/oregon/or.htm
2019,PA,78.3,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,79.5,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,76.8,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,78.4,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,75.6,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,78.6,/nchs/pressroom/states/texas/tx.htm
2019,UT,79.7,/nchs/pressroom/states/utah/ut.htm
2019,VT,79.8,/nchs/pressroom/states/vermont/vt.htm
2019,VA,79.1,/nchs/pressroom/states/virginia/va.htm
2019,WA,80,/nchs/pressroom/states/washington/wa.htm
2019,WV,74.5,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,79.3,/nchs/pressroom/states/wisconsin/wi.htm
